epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.4174,1.77105,1.64266,1.07699,0.74208,0.63264,0.69093,0.40544,1.62599,1.06052,1.04561,0.000552562,0.000552562,0.000552562
2,149.633,1.60824,0.94214,1.02344,0.86596,0.76956,0.85353,0.50405,1.48302,0.79573,1.00047,0.000559656,0.000559656,0.000559656
